#,MM:DD:YYYY,HH:MM:SS,PM1.0,PM2.5,PM10.0,TVOC(ppb),CO2(ppm)
 1    , 9/12/2021, 3:33:45 PM,   4,  14,  14,    0,  400
 2    , 9/12/2021, 3:34: 0 PM,   7,  19,  22,  916,  400
 3    , 9/12/2021, 3:35: 0 PM,   4,   5,   5,   80,  400
 4    , 9/12/2021, 3:36: 0 PM,   4,   7,  10,    0,  400
 5    , 9/12/2021, 3:37: 0 PM,   4,   5,   8,    0,  400
 6    , 9/12/2021, 3:38: 0 PM,   4,   7,   8,    0,  400
 7    , 9/12/2021, 3:39: 0 PM,   4,   5,   5,    0,  400
 8    , 9/12/2021, 3:40: 0 PM,   4,   7,   7,    0,  400
 9    , 9/12/2021, 3:41: 0 PM,   4,   5,   8,    0,  400
 10   , 9/12/2021, 3:42: 0 PM,   4,   5,   6,    0,  400
 11   , 9/12/2021, 3:43: 0 PM,   4,   5,   5,    0,  400
 12   , 9/12/2021, 3:44: 0 PM,   4,   5,   8,    0,  400
 13   , 9/12/2021, 3:45: 0 PM,   2,   4,   5,    0,  400
 14   , 9/12/2021, 3:46: 0 PM,   4,   5,   8,    0,  400
 15   , 9/12/2021, 3:47: 0 PM,   3,   4,   4,    0,  400
 16   , 9/12/2021, 3:48: 0 PM,   2,   3,   3,    0,  400
 17   , 9/12/2021, 3:49: 0 PM,   4,   5,   5,    0,  400
 18   , 9/12/2021, 3:50: 0 PM,   3,   4,   4,    0,  400
 19   , 9/12/2021, 3:51: 0 PM,   3,   5,   6,    0,  400
 20   , 9/12/2021, 3:52: 0 PM,   4,   4,   4,    0,  400
 21   , 9/12/2021, 3:53: 0 PM,   4,   7,   8,    0,  400
 22   , 9/12/2021, 3:54: 0 PM,   2,   3,   5,    0,  400
 23   , 9/12/2021, 3:55: 0 PM,   4,   4,   4,    0,  400
 24   , 9/12/2021, 3:56: 0 PM,   3,   4,   5,    0,  400
 25   , 9/12/2021, 3:57: 0 PM,   2,   3,   5,    0,  400
 26   , 9/12/2021, 3:58: 0 PM,   3,   3,   3,    0,  400
 27   , 9/12/2021, 3:59: 0 PM,   2,   3,   4,    0,  400
 28   , 9/12/2021, 4: 0: 0 PM,   1,   4,   6,    0,  400
